neighbourhood_group,neighbourhood
Bedrijventerrein Schieveen,Bedrijventerrein Schieveen
Botlek-Europoort-Maasvlakte,Botlek
Botlek-Europoort-Maasvlakte,Europoort
Botlek-Europoort-Maasvlakte,Maasvlakte
Charlois,Carnisse
Charlois,Charlois Zuidrand
Charlois,Heijplaat
Charlois,Oud Charlois
Charlois,Pendrecht
Charlois,Tarwewijk
Charlois,Wielewaal
Charlois,Zuiderpark
Charlois,Zuidplein
Charlois,Zuidwijk
Delfshaven,Bospolder
Delfshaven,Delfshaven
Delfshaven,Middelland
Delfshaven,Nieuwe Westen
Delfshaven,Oud Mathenesse
Delfshaven,Schiemond
Delfshaven,Spangen
Delfshaven,Tussendijken
Delfshaven,Witte Dorp
Feijenoord,Afrikaanderwijk
Feijenoord,Bloemhof
Feijenoord,Feijenoord
Feijenoord,Hillesluis
Feijenoord,Katendrecht
Feijenoord,Kop van Zuid
Feijenoord,Kop van Zuid - Entrepot
Feijenoord,Noordereiland
Feijenoord,Vreewijk
Hillegersberg-Schiebroek,Hillegersberg Noord
Hillegersberg-Schiebroek,Hillegersberg Zuid
Hillegersberg-Schiebroek,Molenlaankwartier
Hillegersberg-Schiebroek,Schiebroek
Hillegersberg-Schiebroek,Terbregge
Hoek van Holland,Dorp
Hoek van Holland,Rijnpoort
Hoek van Holland,Strand en Duin
Hoogvliet,Hoogvliet Noord
Hoogvliet,Hoogvliet Zuid
IJsselmonde,Beverwaard
IJsselmonde,Groot IJsselmonde
IJsselmonde,Lombardijen
IJsselmonde,Oud IJsselmonde
Kralingen-Crooswijk,De Esch
Kralingen-Crooswijk,Kralingen Oost
Kralingen-Crooswijk,Kralingen West
Kralingen-Crooswijk,Kralingse Bos
Kralingen-Crooswijk,Nieuw Crooswijk
Kralingen-Crooswijk,Oud Crooswijk
Kralingen-Crooswijk,Rubroek
Kralingen-Crooswijk,Struisenburg
Nieuw Mathenesse,Nieuw Mathenesse
Noord,Agniesebuurt
Noord,Bergpolder
Noord,Blijdorp
Noord,Blijdorpsepolder
Noord,Liskwartier
Noord,Oude Noorden
Noord,Provenierswijk
Overschie,Kleinpolder
Overschie,Landzicht
Overschie,Noord Kethel
Overschie,Overschie
Overschie,Schieveen
Overschie,Zestienhoven
Pernis,Pernis
Prins Alexander,Het Lage Land
Prins Alexander,Kralingseveer
Prins Alexander,Nesselande
Prins Alexander,Ommoord
Prins Alexander,Oosterflank
Prins Alexander,Prinsenland
Prins Alexander,'s-Gravenland
Prins Alexander,Zevenkamp
Rivium,Rivium
Rotterdam Centrum,Cool
Rotterdam Centrum,Cs Kwartier
Rotterdam Centrum,Dijkzigt
Rotterdam Centrum,Nieuwe Werk
Rotterdam Centrum,Oude Westen
Rotterdam Centrum,Stadsdriehoek
Rotterdam-Noord-West,Bedrijvenpark Noord-West
Rozenburg,Noordzeeweg
Rozenburg,Rozenburg
Spaanse Polder,Spaanse Polder
Vondelingenplaat,Vondelingenplaat
Waalhaven-Eemhaven,Eemhaven
Waalhaven-Eemhaven,Waalhaven
Waalhaven-Eemhaven,Waalhaven Zuid
