Neighborhood,Coolness,Centrality,Quietness,Fanciness
Stadsdriehoek,9,10,3,7
Middelland,8,8,5,6
Dijkzigt,7,9,6,8
Kralingen Oost,7,6,8,9
Blijdorp,7,7,7,7
Oude Noorden,6,5,6,5
Nieuwe Westen,6,5,6,5
Cs Kwartier,6,5,6,5
Oude Westen,6,5,6,5
Hillegersberg Noord,6,5,6,5
Tarwewijk,6,5,6,5
Nieuwe Werk,6,5,6,5
Afrikaanderwijk,5,6,4,4
Overschie,5,5,7,5
Spangen,6,6,5,5
Nesselande,6,5,6,5
Oosterflank,6,5,6,5
Kralingen West,6,5,6,5
Oud Charlois,6,5,6,5
Hillesluis,6,5,6,5
Liskwartier,6,7,7,6
Kop van Zuid - Entrepot,6,5,6,5
Cool,6,5,6,5
Hillegersberg Zuid,6,5,6,5
Terbregge,6,5,6,5
Bergpolder,6,5,6,5
Katendrecht,9,8,4,7
Delfshaven,7,7,5,6
Strand en Duin,6,5,6,5
Tussendijken,6,5,6,5
Bospolder,6,5,6,5
Noordereiland,7,8,5,6
Noord Kethel,6,5,6,5
Schiemond,6,5,6,5
Rubroek,6,5,6,5
Hoogvliet Noord,6,5,6,5
Schiebroek,5,5,8,6
Provenierswijk,6,5,6,5
Struisenburg,6,5,6,5
Pendrecht,6,5,6,5
Zevenkamp,6,5,6,5
Ommoord,6,5,6,5
Kop van Zuid,8,9,4,9
Zuidwijk,6,5,6,5
Zestienhoven,6,5,6,5
Kralingse Bos,6,5,6,5
Carnisse,6,5,6,5
Oud Crooswijk,6,5,6,5
Het Lage Land,6,5,6,5
Vreewijk,6,5,6,5
Prinsenland,6,5,6,5
Oud IJsselmonde,6,5,6,5
Bloemhof,6,5,6,5
Feijenoord,6,6,5,5
Hoogvliet Zuid,6,5,6,5
Molenlaankwartier,6,5,6,5
's-Gravenland,6,5,6,5
Groot IJsselmonde,6,5,6,5
Agniesebuurt,6,6,7,5
Nieuw Crooswijk,6,5,6,5
De Esch,6,5,6,5
Schieveen,6,5,6,5
Lombardijen,6,5,6,5
Kleinpolder,6,5,6,5
Rozenburg,6,5,6,5
Oud Mathenesse,6,5,6,5
Zuiderpark,6,5,6,5
Eemhaven,6,5,6,5
Dorp,6,5,6,5
Spaanse Polder,6,5,6,5
Zuidplein,6,7,5,6
Nieuw Mathenesse,6,5,6,5
Wielewaal,6,5,6,5
