id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
73155,Apartment in centre of Rotterdam,381163,Kim,Rotterdam Centrum,Stadsdriehoek,51.91683,4.48294,Entire home/apt,125,7,120,2024-06-07,0.75,1,301,5,0599 D9BA 806A 9A56 BDBB
77592,"Charming, Cozy Rotterdam Center",416305,Jos,Delfshaven,Middelland,51.9149,4.46322,Entire home/apt,150,2,18,2022-10-02,0.11,1,0,0,Exempt
101526,Apartment Dependance Rotterdam,531869,Loes,Rotterdam Centrum,Dijkzigt,51.91246,4.46586,Entire home/apt,140,7,21,2024-06-03,0.13,1,148,3,0599 51CC CA3A 88B0 CEF1
539905,Sunny garden apt in Kralingen/R'dam,2652971,Michael,Kralingen-Crooswijk,Kralingen Oost,51.92292,4.51435,Entire home/apt,125,4,24,2022-09-11,0.17,1,0,0,0599 F642 774A E974 C0A9
763422,City appartment: b&b Walenburg,4024319,Machteld,Noord,Blijdorp,51.93021,4.46853,Private room,110,2,382,2024-06-12,2.84,1,65,33,0599 0D64 133D 0093 457A
878959,Apartment  Rotterdam Noord,4646003,Michel,Noord,Oude Noorden,51.93319,4.47658,Entire home/apt,,6,20,2023-05-03,0.15,1,0,0,0599 8D6D 8745 6244 F5F9
1322782,Spacious room close to city centre,6926282,Marion,Delfshaven,Nieuwe Westen,51.92127,4.4563,Private room,70,3,137,2024-06-05,1.22,3,122,19,0599 7F3D 2D0E ECD3 0C97
1329363,Blue single room close to city center,6926282,Marion,Delfshaven,Middelland,51.91955,4.4561,Private room,50,3,78,2023-11-06,0.64,3,62,10,0599 7F3D 2D0E ECD3 0C97
1403364,Romantic deckhouse on historic ship central R'dam,7574324,Esther,Rotterdam Centrum,Stadsdriehoek,51.9149,4.48253,Entire home/apt,110,2,591,2024-06-17,4.56,2,240,71,0599 55C3 36A7 F981 E15C
1436796,Meeting like-minded travelers,7718807,Hostel Ani & Haakien,Rotterdam Centrum,Cs Kwartier,51.92259,4.46505,Shared room,45,1,59,2024-03-01,0.58,5,315,5,0599 9D05 A5B5 FBE4 DAD6
1439548,Boutique hostel in the middle of Rotterdam,7718807,Hostel Ani & Haakien,Rotterdam Centrum,Oude Westen,51.92088,4.46529,Shared room,45,1,169,2024-05-29,1.28,5,317,7,Exempt
1504950,Luxe Guest house in Hooimijt,8040675,Det,Hillegersberg-Schiebroek,Hillegersberg Noord,51.96387,4.48423,Entire home/apt,138,7,124,2023-11-09,1.05,1,265,6,0599 5DEA B875 55B2 AA00
